Fold,Accuracy,Precision,Recall,F1-Score
1,0.9791666666666666,0.9800452351560849,0.9791666666666666,0.9790481896854182
2,0.9895833333333334,0.9898958333333334,0.9895833333333334,0.9895781885946859
3,0.9826388888888888,0.9829410866910866,0.9826388888888888,0.9826303143244767
4,0.96875,0.9703829156954158,0.96875,0.9688272833766222
5,0.9965277777777778,0.99656320861678,0.9965277777777778,0.996527396895044
