,Accuracy,Precision,Recall,F1-Score,Time (s),Best Parameters
RandomForest,0.9333333333333332,0.9400247036160501,0.9333333333333332,0.9339971299281814,44.416653871536255,"{'n_estimators': 969, 'max_depth': 5, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': None, 'criterion': 'entropy'}"
XGBoost,0.982638888888889,0.9832581953320512,0.982638888888889,0.9826299640133737,37.374295711517334,"{'n_estimators': 596, 'max_depth': 12, 'learning_rate': 0.2661942325763544, 'subsample': 0.9189373894134489, 'colsample_bytree': 0.808642768020138, 'gamma': 0.00028249920322438255, 'reg_alpha': 4.700212554773291e-08, 'reg_lambda': 7.461683269067678e-07}"
LightGBM,0.9833333333333334,0.9839656558985401,0.9833333333333334,0.9833222745752493,23.927285194396973,"{'n_estimators': 154, 'max_depth': 5, 'learning_rate': 0.12271802571697094, 'num_leaves': 116, 'min_child_samples': 24, 'feature_fraction': 0.8650252867334958, 'bagging_fraction': 0.7734343708821083, 'bagging_freq': 6}"
ExtraTrees,0.9805555555555557,0.9813887446320109,0.9805555555555557,0.9805626575077045,4.843631029129028,"{'n_estimators': 238, 'max_depth': 34, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': None}"
GradientBoosting,0.982638888888889,0.983265071734411,0.982638888888889,0.9826203541627013,30.70489001274109,"{'n_estimators': 249, 'learning_rate': 0.0835486160748305, 'max_depth': 4, 'min_samples_split': 13, 'min_samples_leaf': 6, 'subsample': 0.8417129064616918}"
