,Accuracy,Precision,Recall,F1-Score,Time (s),Best Parameters
RandomForest,0.9680555555555556,0.9695883109110308,0.9680555555555556,0.9679526843156901,2.291051149368286,Default
XGBoost,0.9715277777777777,0.9723974977417218,0.9715277777777777,0.9714826288371476,3.315062999725342,Default
LightGBM,0.9736111111111111,0.9749217199698057,0.9736111111111111,0.9735529538225485,20.462268829345703,Default
ExtraTrees,0.9743055555555555,0.9749868423418142,0.9743055555555555,0.9742540157301217,1.237684965133667,Default
GradientBoosting,0.9680555555555553,0.9697030591377072,0.9680555555555553,0.9679864267111042,8.465994119644165,Default
